"population","treatment","voc","trait","r","p","n","significance"
"Bon","Control","voc10","flower_time",-0.0838127763564277,0.806457085678163,11,""
"Bon","Control","voc11","flower_time",-0.465810946059331,0.148740939329857,11,""
"Bon","Control","voc12","flower_time",-0.581992863827419,0.0603242070777832,11,""
"Bon","Control","voc13","flower_time",-0.42436030618135,0.193310208819058,11,""
"Bon","Control","voc14","flower_time",-0.386017968243413,0.240963676749888,11,""
"Bon","Control","voc15","flower_time",-0.356291249667281,0.282159101903042,11,""
"Bon","Control","voc16","flower_time",-0.544968366695489,0.0829802705155055,11,""
"Bon","Control","voc17","flower_time",-0.466833978857764,0.147731242224523,11,""
"Bon","Control","total","flower_time",-0.474147201843899,0.140638563426513,11,""
"Bon","Herbivore-induced","voc1","flower_time",-0.293695176573485,0.38071173433587,11,""
"Bon","Herbivore-induced","voc2","flower_time",-0.0283699033665173,0.934010906887297,11,""
"Bon","Herbivore-induced","voc3","flower_time",0.0585662455988231,0.864189757418187,11,""
"Bon","Herbivore-induced","voc4","flower_time",-0.329248292975215,0.322808856602498,11,""
"Bon","Herbivore-induced","voc5","flower_time",-0.570384793798373,0.0669091537904319,11,""
"Bon","Herbivore-induced","voc6","flower_time",-0.677770814428025,0.0219183394477068,11,"*"
"Bon","Herbivore-induced","voc7","flower_time",-0.106227234180993,0.755909245043764,11,""
"Bon","Herbivore-induced","voc8","flower_time",-0.131124110936705,0.700760859634114,11,""
"Bon","Herbivore-induced","voc9","flower_time",-0.502501619283781,0.115191278384083,11,""
"Bon","Herbivore-induced","voc10","flower_time",0.0226173243312337,0.947373545877236,11,""
"Bon","Herbivore-induced","voc11","flower_time",-0.609632627372912,0.0464472272330584,11,"*"
"Bon","Herbivore-induced","voc12","flower_time",-0.647888886498899,0.0311113558528154,11,"*"
"Bon","Herbivore-induced","voc13","flower_time",-0.516186026733441,0.104054714853322,11,""
"Bon","Herbivore-induced","voc14","flower_time",-0.65518839065462,0.0286538264671415,11,"*"
"Bon","Herbivore-induced","voc15","flower_time",-0.436840690377786,0.179135066120275,11,""
"Bon","Herbivore-induced","voc16","flower_time",-0.661394280853168,0.0266747648172429,11,"*"
"Bon","Herbivore-induced","voc17","flower_time",-0.477861708771834,0.137119900290854,11,""
"Bon","Herbivore-induced","total","flower_time",-0.563820281629326,0.0708394394808216,11,""
"Bon","Control","voc1","flower_time1",0.55306500407982,0.122455097259382,9,""
"Bon","Control","voc2","flower_time1",0.318493797758863,0.403543557967417,9,""
"Bon","Control","voc3","flower_time1",0.222237065509289,0.565484345127987,9,""
"Bon","Control","voc4","flower_time1",0.603282400122727,0.0854485172939403,9,""
