ID;population;Gen;Treat;H_E;GLVs;Monoterpenes;Aromatic compounds ;Long-chain alkanes;Alcohols and esters;GLVsg;Monoterpenesg;Aromatic compoundsg;Long-chain alkanesg;Alcohols and estersg
C55h2;C;55;h;3;7.352532875;10.20253616;1.275439041;12.51783384;2.369268531;7.353532875;10.20353616;1.276439041;12.51883384;2.370268531
C55h3;C;55;h;3;5.409532572;0;1.509159318;5.285438593;2.520207347;5.410532572;0.001;1.510159318;5.286438593;2.521207347
C61h1;C;61;h;4;1.665164233;2.345966774;0.589520076;0.90372282;1.547068843;1.666164233;2.346966774;0.590520076;0.90472282;1.548068843
C61h2;C;61;h;4;1.836575536;0.821882682;0.279291083;0.474665485;0.512367785;1.837575536;0.822882682;0.280291083;0.475665485;0.513367785
C61h3;C;61;h;4;3.198460175;2.267648492;0.994704853;1.373942768;1.48291257;3.199460175;2.268648492;0.995704853;1.374942768;1.48391257
C64h1;C;64;h;4;10.48390382;5.830856081;2.15124339;5.758968129;3.874732028;10.48490382;5.831856081;2.15224339;5.759968129;3.875732028
C64h2;C;64;h;4;1.164267989;0.3793008;0.28271102;0.880970488;0.41876217;1.165267989;0.3803008;0.28371102;0.881970488;0.41976217
C64h3;C;64;h;3;1.305668879;0.466513587;0.308147752;0.815948109;0.492808545;1.306668879;0.467513587;0.309147752;0.816948109;0.493808545
B3o1;B;3;c;4;0.819250351;2.116780803;;0.948245891;0;0.820250351;2.117780803;;0.949245891;0.001
B3o2;B;3;c;3;0.374699582;0.538936119;;0.168625903;0.099119777;0.375699582;0.539936119;;0.169625903;0.100119777
B3o3;B;3;c;3;0.561006991;1.074925772;;0.228586914;0.082782185;0.562006991;1.075925772;;0.229586914;0.083782185
B14o1;B;14;c;3;3.015385213;1.280556635;;1.048717251;0.242672782;3.016385213;1.281556635;;1.049717251;0.243672782
B14o2;B;14;c;3;1.200933808;0.773065933;;0.794679764;0.057304689;1.201933808;0.774065933;;0.795679764;0.058304689
B14o3;B;14;c;3;1.341412321;1.057020991;;1.100104906;0;1.342412321;1.058020991;;1.101104906;0.001
B24o1;B;24;c;4;3.950778663;12.69023501;;2.39134839;1.739588472;3.951778663;12.69123501;;2.39234839;1.740588472
B24o2;B;24;c;4;2.346154724;10.04004719;;2.339807451;1.659172723;2.347154724;10.04104719;;2.340807451;1.660172723
B24o3;B;24;c;3;4.833911764;16.09273339;;4.67942364;0.635940095;4.834911764;16.09373339;;4.68042364;0.636940095
B28o1;B;28;c;4;9.370989934;5.709154485;;12.01433847;6.007427868;9.371989934;5.710154485;;12.01533847;6.008427868
B28o2;B;28;c;3;9.255497837;2.52122146;;7.362178079;0.341377969;9.256497837;2.52222146;;7.363178079;0.342377969
